PubChem_CID,Compound Name,standardised_smiles,vDILIConcern
34869,amineptine,O=C(O)CCCCCCNC1c2ccccc2CCc2ccccc21,vMost-DILI-Concern
2717,chlormezanone,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1,vMost-DILI-Concern
65679,droxicam,CN1c2c(oc(=O)n(-c3ccccn3)c2=O)-c2ccccc2S1(=O)=O,vMost-DILI-Concern
65869,ebrotidine,NC(N)=Nc1nc(CSCCN=CNS(=O)(=O)c2ccc(Br)cc2)cs1,vMost-DILI-Concern
4495,nimesulide,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1,vMost-DILI-Concern
5591,troglitazone,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,vMost-DILI-Concern
62959,trovafloxacin,NC1C2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)CC12,vMost-DILI-Concern
2081,alaproclate,CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1,vMost-DILI-Concern
3086677,alatrofloxacin mesylate,CC(N)C(=O)NC(C)C(=O)NC1C2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)CC21,vMost-DILI-Concern
30951,alclofenac,C=CCOc1ccc(CC(=O)O)cc1Cl,vMost-DILI-Concern
54897,alpidem,CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2ccc(Cl)cn12,vMost-DILI-Concern
2313,bendazac,O=C(O)COc1nn(Cc2ccccc2)c2ccccc12,vMost-DILI-Concern
39941,benoxaprofen,CC(C(=O)O)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1,vMost-DILI-Concern
255968,benzarone,CCc1oc2ccccc2c1C(=O)c1ccc(O)cc1,vMost-DILI-Concern
2333,benzbromarone,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,vMost-DILI-Concern
6237,benziodarone,CCc1oc2ccccc2c1C(=O)c1cc(I)c(O)c(I)c1,vMost-DILI-Concern
60726,bromfenac,Nc1c(CC(=O)O)cccc1C(=O)c1ccc(Br)cc1,vMost-DILI-Concern
8593,cinchophen,O=C(O)c1cc(-c2ccccc2)nc2ccccc12,vMost-DILI-Concern
21382,clomacran,CN(C)CCCC1c2ccccc2Nc2ccc(Cl)cc21,vMost-DILI-Concern
33176,clometacin,COc1ccc2c(C(=O)c3ccc(Cl)cc3)c(C)n(CC(=O)O)c2c1,vMost-DILI-Concern
2898,cyclofenil,CC(=O)Oc1ccc(C(=C2CCCCC2)c2ccc(OC(C)=O)cc2)cc1,vMost-DILI-Concern
40399,exifone,O=C(c1cc(O)c(O)c(O)c1)c1ccc(O)c(O)c1O,vMost-DILI-Concern
28858,fenclozic acid,O=C(O)Cc1csc(-c2ccc(Cl)cc2)n1,vMost-DILI-Concern
3351,fipexide,O=C(COc1ccc(Cl)cc1)N1CCN(Cc2ccc3c(c2)OCO3)CC1,vMost-DILI-Concern
3474,glafenine,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12,vMost-DILI-Concern
15250,ibufenac,CC(C)Cc1ccc(CC(=O)O)cc1,vMost-DILI-Concern
3748,iproniazid,CC(C)NNC(=O)c1ccncc1,vMost-DILI-Concern
71169,isaxonine,CC(C)Nc1ncccn1,vMost-DILI-Concern
151166,lumiracoxib,Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)O)c1,vMost-DILI-Concern
6179,mebanazine,CC(NN)c1ccccc1,vMost-DILI-Concern
6075,mepazine,CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1,vMost-DILI-Concern
4260,moxisylyte,CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,vMost-DILI-Concern
4472,nialamide,O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1,vMost-DILI-Concern
3033952,niperotidine,CN(C)Cc1ccc(CSCCNC(=C[N+](=O)[O-])NCc2ccc3c(c2)OCO3)o1,vMost-DILI-Concern
71900,nitrefazole,Cc1nc([N+](=O)[O-])cn1-c1ccc([N+](=O)[O-])cc1,vMost-DILI-Concern
4528,nomifensine,CN1Cc2c(N)cccc2C(c2ccccc2)C1,vMost-DILI-Concern
8269,oxyphenisatin,CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)C(=O)Nc3ccccc32)cc1,vMost-DILI-Concern
4723,pemoline,NC1=NC(=O)C(c2ccccc2)O1,vMost-DILI-Concern
4746,perhexiline,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,vMost-DILI-Concern
71467,phenoxypropazine,CC(COc1ccccc1)NN,vMost-DILI-Concern
6761,pipamazine,NC(=O)C1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,vMost-DILI-Concern
35935,pirprofen,CC(C(=O)O)c1ccc(N2CC=CC2)c(Cl)c1,vMost-DILI-Concern
216235,sitaxsentan,Cc1cc2c(cc1CC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1Cl)OCO2,vMost-DILI-Concern
5354,sulcotidil,CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1,vMost-DILI-Concern
11033,sulfacarbamide,NC(=O)NS(=O)(=O)c1ccc(N)cc1,vMost-DILI-Concern
5340,sulfathiazole,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,vMost-DILI-Concern
38409,ticrynafen,O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl,vMost-DILI-Concern
65592,tilbroquinol,Cc1cc(Br)c(O)c2ncccc12,vMost-DILI-Concern
53359,tolrestat,COc1ccc2c(C(=S)N(C)CC(=O)O)cccc2c1C(F)(F)F,vMost-DILI-Concern
29321,triacetyldiphenolisatin,CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)C(=O)N(C(C)=O)c3ccccc32)cc1,vMost-DILI-Concern
239062,xenazoic acid,CCOC(Nc1ccc(C(=O)O)cc1)C(=O)c1ccc(-c2ccccc2)cc1,vMost-DILI-Concern
9574101,ximelagatran,CCOC(=O)CNC(C(=O)N1CCC1C(=O)NCc1ccc(C(N)=NO)cc1)C1CCCCC1,vMost-DILI-Concern
41987,zimelidine,CN(C)CC=C(c1ccc(Br)cc1)c1cccnc1,vMost-DILI-Concern
3001322,aplaviroc ,CCCCN1C(=O)C(C(O)C2CCCCC2)NC(=O)C12CCN(Cc1ccc(Oc3ccc(C(=O)O)cc3)cc1)CC2,vMost-DILI-Concern
32756,dermatan,CC(=O)NC1C(O)OC(CO)C(OS(=O)(=O)O)C1OC1OC(C(=O)O)C(O)C(O)C1O,vMost-DILI-Concern
6918508,falnidamol ,CN1CCC(Nc2ncc3ncnc(Nc4ccc(F)c(Cl)c4)c3n2)CC1,vMost-DILI-Concern
50313,fialuridine,O=c1[nH]c(=O)n(C2OC(CO)C(O)C2F)cc1I,vMost-DILI-Concern
172307,fiduxosin ,COc1cccc2c1C1CN(CCCCn3c(=O)[nH]c4c(sc5ncc(-c6ccccc6)nc54)c3=O)CC1CO2,vMost-DILI-Concern
5480200,pafuramidine ,CON=C(N)c1ccc(-c2ccc(-c3ccc(C(N)=NOC)cc3)o2)cc1,vMost-DILI-Concern
153270,pralnacasan ,CCOC1OC(=O)CC1NC(=O)C1CCCN2C(=O)CCC(NC(=O)c3nccc4ccccc34)C(=O)N12,vMost-DILI-Concern
60919,tasosartan,Cc1nc(C)c2c(n1)N(Cc1ccc(-c3ccccc3-c3nn[nH]n3)cc1)C(=O)CC2,vMost-DILI-Concern
6437841,acitretin,COc1cc(C)c(C=CC(C)=CC=CC(C)=CC(=O)O)c(C)c1C,vMost-DILI-Concern
2157,amiodarone,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,vMost-DILI-Concern
104865,bosentan,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,vMost-DILI-Concern
6253,cytarabine,Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1,vMost-DILI-Concern
5351166,dacarbazine,CN(C)NN=C1N=CN=C1C(N)=O,vMost-DILI-Concern
28417,danazol,C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C,vMost-DILI-Concern
2952,dantrolene,O=C1CN(N=Cc2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1,vMost-DILI-Concern
5493381,deferasirox,O=C1C=CC=CC1=C1NC(=C2C=CC=CC2=O)N(c2ccc(C(=O)O)cc2)N1,vMost-DILI-Concern
3331,felbamate,NC(=O)OCC(COC(N)=O)c1ccccc1,vMost-DILI-Concern
3397,flutamide,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,vMost-DILI-Concern
3767,isoniazid,NNC(=O)c1ccncc1,vMost-DILI-Concern
47576,ketoconazole,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,vMost-DILI-Concern
208908,lapatinib,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,vMost-DILI-Concern
3899,leflunomide,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,vMost-DILI-Concern
126941,methotrexate,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,vMost-DILI-Concern
4178,mexiletine,Cc1cccc(C)c1OCC(C)N,vMost-DILI-Concern
4449,nefazodone,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,vMost-DILI-Concern
4463,nevirapine,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,vMost-DILI-Concern
5878,oxandrolone,CC12COC(=O)CC1CCC1C2CCC2(C)C1CCC2(C)O,vMost-DILI-Concern
9902,oxymetholone,CC12CC(C=O)C(=O)CC1CCC1C2CCC2(C)C1CCC2(C)O,vMost-DILI-Concern
10113978,pazopanib,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,vMost-DILI-Concern
40926,pentostatin,OCC1OC(n2cnc3c2NC=NCC3O)CC1O,vMost-DILI-Concern
657298,propylthiouracil,CCCc1cc(=O)[nH]c(=S)[nH]1,vMost-DILI-Concern
18283,stavudine,Cc1cn(C2C=CC(CO)O2)c(=O)[nH]c1=O,vMost-DILI-Concern
5329102,sunitinib,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,vMost-DILI-Concern
4659569,tolcapone,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,vMost-DILI-Concern
3121,valproic acid,CCCC(CCC)C(=O)O,vMost-DILI-Concern
35370,zidovudine,Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)[nH]c1=O,vMost-DILI-Concern
9915926,eltrombopag olamine,Cc1ccc(-n2[nH]c(C)c(NN=C3C=CC=C(c4cccc(C(=O)O)c4)C3=O)c2=O)cc1C,vMost-DILI-Concern
3002977,maraviroc,Cc1nnc(C(C)C)n1C1CC2CCC(C1)N2CCC(NC(=O)C1CCC(F)(F)CC1)c1ccccc1,vMost-DILI-Concern
65027,tipranavir,CCCC1(CCc2ccccc2)CC(=O)C(C(CC)c2cccc(NS(=O)(=O)c3ccc(C(F)(F)F)cn3)c2)C(=O)O1,vMost-DILI-Concern
4649,4-aminosalicylic acid,Nc1ccc(C(=O)O)c(O)c1,vMost-DILI-Concern
65140,abacavir,Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1,vMost-DILI-Concern
441184,acarbose,CC1OC(OC2C(CO)OC(OC3C(CO)OC(O)C(O)C3O)C(O)C2O)C(O)C(O)C1NC1C=C(CO)C(O)C(O)C1O,vMost-DILI-Concern
1983,acetaminophen,CC(=O)Nc1ccc(O)cc1,vMost-DILI-Concern
1986,acetazolamide,CC(=O)Nc1nnc(S(N)(=O)=O)s1,vMost-DILI-Concern
2082,albendazole,CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,vMost-DILI-Concern
2094,allopurinol,O=c1ncnc2[nH][nH]cc1-2,vMost-DILI-Concern
54841,atomoxetine,CNCCC(Oc1ccccc1C)c1ccccc1,vMost-DILI-Concern
60823,atorvastatin,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)O,vMost-DILI-Concern
2265,azathioprine,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,vMost-DILI-Concern
82146,bexarotene,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,vMost-DILI-Concern
56069,bicalutamide,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,vMost-DILI-Concern
2478,busulfan,CS(=O)(=O)OCCCCOS(C)(=O)=O,vMost-DILI-Concern
2554,carbamazepine,NC(=O)N1c2ccccc2C=Cc2ccccc21,vMost-DILI-Concern
2733,chlorzoxazone,O=c1[nH]c2cc(Cl)ccc2o1,vMost-DILI-Concern
2764,ciprofloxacin,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,vMost-DILI-Concern
84029,clarithromycin,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(OC)CC(C)C(=O)C(C)C(O)C1(C)O,vMost-DILI-Concern
2801,clomipramine,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,vMost-DILI-Concern
2818,clozapine,CN1CCN(C2=c3ccccc3=Nc3ccc(Cl)cc3N2)CC1,vMost-DILI-Concern
213039,darunavir,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(N)cc1,vMost-DILI-Concern
3033,diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,vMost-DILI-Concern
50599,didanosine,O=c1[nH]cnc2c1ncn2C1CCC(CO)O1,vMost-DILI-Concern
3059,diflunisal,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,vMost-DILI-Concern
39186,diltiazem,COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1,vMost-DILI-Concern
3117,disulfiram,CCN(CC)C(=S)SSC(=S)N(CC)CC,vMost-DILI-Concern
208898,dronedarone,CCCCc1oc2ccc(NS(C)(=O)=O)cc2c1C(=O)c1ccc(OCCCN(CCCC)CCCC)cc1,vMost-DILI-Concern
