splits,accuracy,balanced_accuracy,recall,precision,AU_Prec_Rec_Curve,ROC_AUC,MCC
MCNC.RF.1.1,0.7560975609756098,0.7463768115942029,0.6666666666666666,0.75,0.8288180781481158,0.8212560386473431,0.5013026509266503
MCNC.SVM.1.1,0.7560975609756098,0.7524154589371981,0.7222222222222222,0.7222222222222222,0.6981909204291175,0.7777777777777778,0.5048309178743962
MCNC.RF.1.2,0.7560975609756098,0.7524154589371981,0.7222222222222222,0.7222222222222222,0.8341264988711342,0.8333333333333333,0.5048309178743962
MCNC.SVM.1.2,0.7560975609756098,0.7403381642512077,0.6111111111111112,0.7857142857142857,0.8478424171860839,0.8188405797101449,0.5030451960192485
MCNC.RF.1.3,0.7073170731707317,0.7028985507246377,0.6666666666666666,0.6666666666666666,0.7251162918428599,0.8176328502415459,0.4057971014492754
MCNC.SVM.1.3,0.7317073170731707,0.7306763285024154,0.7222222222222222,0.6842105263157895,0.7070570862415138,0.8212560386473431,0.4591399216736182
MCNC.RF.1.4,0.7560975609756098,0.7644927536231885,0.8333333333333334,0.6818181818181818,0.8694462807391026,0.8719806763285024,0.5264483918666093
MCNC.SVM.1.4,0.7560975609756098,0.7705314009661836,0.8888888888888888,0.6666666666666666,0.7748100276618526,0.8454106280193237,0.5450266849755315
MCNC.RF.1.5,0.75,0.7442455242966752,0.7058823529411765,0.7058823529411765,0.7806169712378341,0.8184143222506394,0.4884910485933504
MCNC.SVM.1.5,0.75,0.7365728900255755,0.6470588235294118,0.7333333333333333,0.8247350276155727,0.8312020460358056,0.4831341271585298
MCNC.RF.1.6,0.7,0.6930946291560103,0.6470588235294118,0.6470588235294118,0.8391894873626344,0.8554987212276215,0.3861892583120205
MCNC.SVM.1.6,0.725,0.7225063938618925,0.7058823529411765,0.6666666666666666,0.7405587222825365,0.7902813299232736,0.44219443899559935
MCNC.RF.1.7,0.775,0.7583120204603581,0.6470588235294118,0.7857142857142857,0.8901946436483188,0.9002557544757034,0.5354418332318489
MCNC.SVM.1.7,0.8,0.7953964194373402,0.7647058823529411,0.7647058823529411,0.8503790935451836,0.8644501278772379,0.5907928388746803
MCNC.RF.1.8,0.7435897435897436,0.7393048128342246,0.7058823529411765,0.7058823529411765,0.7744411450370889,0.8048128342245989,0.4786096256684492
MCNC.SVM.1.8,0.7948717948717948,0.7981283422459893,0.8235294117647058,0.7368421052631579,0.7279054884137973,0.8288770053475936,0.5915306653120388
MCNC.RF.1.9,0.7692307692307693,0.7486631016042781,0.5882352941176471,0.8333333333333334,0.7712899986887529,0.8275401069518716,0.5343239463281865
